pressure: 1015.623, temp: 23.38398,  time: 1356.573
pressure: 1015.596, temp: 23.22572,  time: 1370.08
pressure: 1015.6, temp: 23.08504,  time: 1383.589
pressure: 1015.54, temp: 22.90919,  time: 1397.073
pressure: 1015.741, temp: 22.73335,  time: 1410.571
pressure: 1015.945, temp: 22.41682,  time: 1436.061
pressure: 1015.916, temp: 22.25855,  time: 1449.569
pressure: 1015.333, temp: 22.0827,  time: 1463.085
pressure: 1015.761, temp: 21.88927,  time: 1476.592
pressure: 1016.024, temp: 21.74859,  time: 1490.064
pressure: 1015.441, temp: 21.57274,  time: 1503.64
pressure: 1015.704, temp: 21.43207,  time: 1517.168
pressure: 1015.577, temp: 21.22105,  time: 1530.686
pressure: 1015.872, temp: 21.09795,  time: 1544.224
pressure: 1016.362, temp: 20.93969,  time: 1557.776
pressure: 1016.071, temp: 20.78143,  time: 1571.34
pressure: 1015.52, temp: 20.62316,  time: 1584.965
pressure: 1015.977, temp: 20.44732,  time: 1598.533
pressure: 1015.75, temp: 20.32422,  time: 1612.084
pressure: 1015.946, temp: 20.14837,  time: 1625.643
pressure: 1016.174, temp: 19.99011,  time: 1639.202
pressure: 1015.915, temp: 19.84936,  time: 1652.79
pressure: 1015.623, temp: 19.69088,  time: 1666.348
pressure: 1016.369, temp: 19.53226,  time: 1679.913
pressure: 1015.557, temp: 19.37348,  time: 1693.473
pressure: 1016.042, temp: 19.21456,  time: 1706.977
pressure: 1016.332, temp: 19.09085,  time: 1720.587
pressure: 1015.94, temp: 18.87856,  time: 1734.13
pressure: 1015.97, temp: 18.75461,  time: 1747.69
pressure: 1015.967, temp: 18.61284,  time: 1761.263
pressure: 1016.223, temp: 18.47095,  time: 1774.844
pressure: 1015.701, temp: 18.32895,  time: 1788.393
pressure: 1016.149, temp: 18.15128,  time: 1802.058
pressure: 1015.952, temp: 18.04458,  time: 1815.561
pressure: 1015.88, temp: 17.86662,  time: 1829.091
pressure: 1016.2, temp: 17.75975,  time: 1842.663
pressure: 1016.095, temp: 17.56366,  time: 1856.199
pressure: 1015.896, temp: 17.45661,  time: 1869.787
pressure: 1015.824, temp: 17.27804,  time: 1883.325
pressure: 1015.883, temp: 17.17081,  time: 1896.851
pressure: 1016.325, temp: 16.99195,  time: 1910.375
pressure: 1015.835, temp: 16.86664,  time: 1923.857
pressure: 1016.309, temp: 16.70539,  time: 1937.449
pressure: 1016.142, temp: 16.61574,  time: 1950.973
pressure: 1016.391, temp: 16.47221,  time: 1964.483
pressure: 1016.382, temp: 16.32857,  time: 1978.011
pressure: 1016.114, temp: 16.1848,  time: 1991.546
pressure: 1016.104, temp: 16.04092,  time: 2005.085
pressure: 1015.87, temp: 15.91493,  time: 2018.673
pressure: 1015.669, temp: 15.80687,  time: 2032.218
pressure: 1015.915, temp: 15.66268,  time: 2045.75
pressure: 1016.384, temp: 15.50033,  time: 2059.303
pressure: 1016.182, temp: 15.39201,  time: 2072.852
pressure: 1016.204, temp: 15.26556,  time: 2086.467
pressure: 1016.447, temp: 15.12093,  time: 2100.069
pressure: 1016.211, temp: 14.99429,  time: 2113.634
pressure: 1015.752, temp: 14.88566,  time: 2127.238
pressure: 1016.285, temp: 14.75885,  time: 2140.733
pressure: 1015.758, temp: 14.61381,  time: 2154.364
pressure: 1016.035, temp: 14.48681,  time: 2167.895
pressure: 1016.276, temp: 14.34155,  time: 2181.411
pressure: 1016.329, temp: 14.23253,  time: 2194.912
pressure: 1016.159, temp: 14.14163,  time: 2208.408
pressure: 1016.109, temp: 13.9779,  time: 2221.927
pressure: 1016.127, temp: 13.85044,  time: 2235.46
pressure: 1016.469, temp: 13.75935,  time: 2248.957
pressure: 1016.264, temp: 13.64998,  time: 2262.464
pressure: 1016.281, temp: 13.5223,  time: 2275.982
pressure: 1015.751, temp: 13.37626,  time: 2289.484
pressure: 1016.093, temp: 13.28493,  time: 2303.06
pressure: 1016.075, temp: 13.13871,  time: 2316.566
pressure: 1015.903, temp: 13.04726,  time: 2330.109
pressure: 1016.14, temp: 12.90084,  time: 2343.66
pressure: 1016.48, temp: 12.80928,  time: 2357.168
pressure: 1016.239, temp: 12.681,  time: 2370.768
pressure: 1016.254, temp: 12.55264,  time: 2384.29
pressure: 1016.268, temp: 12.42419,  time: 2397.828
pressure: 1016.13, temp: 12.35075,  time: 2411.349
pressure: 1016.144, temp: 12.22215,  time: 2424.877
pressure: 1015.937, temp: 12.11186,  time: 2438.449
pressure: 1016.24, temp: 12.0015,  time: 2452.012
pressure: 1016.577, temp: 11.90948,  time: 2465.551
pressure: 1016.114, temp: 11.799,  time: 2479.091
pressure: 1016.127, temp: 11.67002,  time: 2492.632
pressure: 1015.953, temp: 11.57784,  time: 2506.176
pressure: 1016.44, temp: 11.43025,  time: 2519.76
pressure: 1015.792, temp: 11.35642,  time: 2533.297
pressure: 1016.128, temp: 11.26408,  time: 2546.828
pressure: 1015.884, temp: 11.13473,  time: 2560.38
pressure: 1015.745, temp: 11.06077,  time: 2573.881
pressure: 1016.045, temp: 10.94979,  time: 2587.509
pressure: 1015.766, temp: 10.80171,  time: 2601.101
pressure: 1015.627, temp: 10.72762,  time: 2614.681
pressure: 1016.47, temp: 10.63497,  time: 2628.247
pressure: 1016.04, temp: 10.54228,  time: 2641.83
pressure: 1016.374, temp: 10.44954,  time: 2655.4
pressure: 1015.621, temp: 10.31962,  time: 2669.005
pressure: 1016.173, temp: 10.2082,  time: 2682.58
pressure: 1015.27, temp: 10.13388,  time: 2696.15
pressure: 1015.533, temp: 10.00374,  time: 2709.724
