pressure: 1001.542, temp: 21.71324,  time: 12.752
pressure: 1001.512, temp: 21.69626,  time: 25.424
pressure: 1001.243, temp: 21.69626,  time: 39.609
pressure: 1002.019, temp: 21.67929,  time: 53.815
pressure: 1001.72, temp: 21.66232,  time: 66.56
pressure: 1001.452, temp: 21.66232,  time: 80.776
pressure: 1001.72, temp: 21.66232,  time: 95.042
pressure: 1001.72, temp: 21.66232,  time: 109.324
pressure: 1001.422, temp: 21.64535,  time: 123.548
pressure: 1001.66, temp: 21.62837,  time: 137.883
pressure: 1001.69, temp: 21.64535,  time: 152.237
pressure: 1001.391, temp: 21.62837,  time: 166.627
pressure: 1001.391, temp: 21.62837,  time: 193.802
pressure: 1001.63, temp: 21.6114,  time: 208.19
pressure: 1001.331, temp: 21.59443,  time: 221.628
pressure: 1001.868, temp: 21.59443,  time: 234.499
pressure: 1001.838, temp: 21.57745,  time: 248.894
pressure: 1001.57, temp: 21.57745,  time: 263.325
pressure: 1002.107, temp: 21.57745,  time: 292.152
pressure: 1001.57, temp: 21.57745,  time: 306.601
pressure: 1001.57, temp: 21.57745,  time: 321.065
pressure: 1001.51, temp: 21.54351,  time: 335.525
pressure: 1001.51, temp: 21.54351,  time: 350.018
pressure: 1001.51, temp: 21.54351,  time: 364.505
pressure: 1001.778, temp: 21.54351,  time: 379.01
pressure: 1001.479, temp: 21.52653,  time: 393.467
pressure: 1001.778, temp: 21.54351,  time: 408.02
pressure: 1001.479, temp: 21.52653,  time: 422.525
pressure: 1001.211, temp: 21.52653,  time: 436.989
pressure: 1001.51, temp: 21.54351,  time: 451.501
pressure: 1001.718, temp: 21.50956,  time: 466.06
pressure: 1001.748, temp: 21.52653,  time: 480.576
pressure: 1001.986, temp: 21.50956,  time: 495.097
pressure: 1001.479, temp: 21.52653,  time: 509.623
pressure: 1001.479, temp: 21.52653,  time: 524.247
pressure: 1001.449, temp: 21.50956,  time: 538.77
pressure: 1001.449, temp: 21.50956,  time: 553.291
pressure: 1001.718, temp: 21.50956,  time: 567.867
pressure: 1001.748, temp: 21.52653,  time: 582.502
pressure: 1001.449, temp: 21.50956,  time: 597.123
pressure: 1001.688, temp: 21.49259,  time: 611.805
pressure: 1001.688, temp: 21.49259,  time: 626.444
pressure: 1001.986, temp: 21.50956,  time: 641.189
pressure: 1001.718, temp: 21.50956,  time: 655.827
pressure: 1001.688, temp: 21.49259,  time: 670.48
pressure: 1001.449, temp: 21.50956,  time: 685.181
pressure: 1001.688, temp: 21.49259,  time: 699.876
pressure: 1001.419, temp: 21.49259,  time: 714.527
pressure: 1001.688, temp: 21.49259,  time: 729.211
pressure: 1001.658, temp: 21.47561,  time: 743.901
pressure: 1001.718, temp: 21.50956,  time: 758.738
pressure: 1001.419, temp: 21.49259,  time: 773.52
pressure: 1001.658, temp: 21.47561,  time: 788.366
pressure: 1001.658, temp: 21.47561,  time: 803.172
pressure: 1001.688, temp: 21.49259,  time: 818.098
pressure: 1001.419, temp: 21.49259,  time: 833.196
pressure: 1001.956, temp: 21.49259,  time: 848.25
pressure: 1001.688, temp: 21.49259,  time: 863.309
pressure: 1001.419, temp: 21.49259,  time: 878.421
pressure: 1001.688, temp: 21.49259,  time: 893.464
pressure: 1001.658, temp: 21.47561,  time: 908.499
pressure: 1001.091, temp: 21.45864,  time: 923.571
pressure: 1001.926, temp: 21.47561,  time: 938.685
pressure: 1002.194, temp: 21.47561,  time: 953.743
pressure: 1001.658, temp: 21.47561,  time: 968.788
pressure: 1001.359, temp: 21.45864,  time: 983.845
pressure: 1001.419, temp: 21.49259,  time: 998.962
pressure: 1001.658, temp: 21.47561,  time: 1014.032
pressure: 1001.658, temp: 21.47561,  time: 1027.53
pressure: 1001.389, temp: 21.47561,  time: 1040.995
pressure: 1001.658, temp: 21.47561,  time: 1056.074
pressure: 1001.658, temp: 21.47561,  time: 1069.652
pressure: 1001.688, temp: 21.49259,  time: 1083.156
pressure: 1001.926, temp: 21.47561,  time: 1098.26
pressure: 1001.956, temp: 21.49259,  time: 1113.348
pressure: 1001.926, temp: 21.47561,  time: 1128.485
pressure: 1001.956, temp: 21.49259,  time: 1143.576
pressure: 1001.956, temp: 21.49259,  time: 1158.629
pressure: 1001.926, temp: 21.47561,  time: 1173.737
pressure: 1001.658, temp: 21.47561,  time: 1188.887
pressure: 1001.956, temp: 21.49259,  time: 1202.456
pressure: 1001.926, temp: 21.47561,  time: 1216.001
pressure: 1001.926, temp: 21.47561,  time: 1229.477
pressure: 1001.658, temp: 21.47561,  time: 1242.917
pressure: 1002.254, temp: 21.50956,  time: 1258.014
pressure: 1001.658, temp: 21.47561,  time: 1273.053
pressure: 1001.956, temp: 21.49259,  time: 1286.581
pressure: 1001.956, temp: 21.49259,  time: 1300.017
pressure: 1001.956, temp: 21.49259,  time: 1315.051
pressure: 1001.956, temp: 21.49259,  time: 1330.142
pressure: 1001.688, temp: 21.49259,  time: 1343.62
pressure: 1001.688, temp: 21.49259,  time: 1357.074
pressure: 1001.479, temp: 21.52653,  time: 1372.121
pressure: 1001.956, temp: 21.49259,  time: 1385.665
pressure: 1001.748, temp: 21.52653,  time: 1399.122
pressure: 1001.718, temp: 21.50956,  time: 1414.142
pressure: 1001.479, temp: 21.52653,  time: 1429.204
