salinity (g/l),temperature (C)
0.5,-30
0.75,-30
0.4,-30
0.5,-30
0.35,-30
0.45,-30
0.32,-30
0.33,-30
0.34,-30
0.35,-30
33.0,-70
10.0,-70
6.5,-70
0.25,-10
0.3,-10
4.5,-60
3.0,-50
4.0,-50
0.0,-5
0.15,-5
1.3,-40
1.6,-40
0.3,-20
6.3,-70
5.7,-70
5.6,-70
4.5,-60
4.0,-60
2.75,-50
0.3,-30
0.35,-30
6.0,-30
5.0,-5
1.0,-30
0.7,-30
